timely,positive_sentiment,negative_sentiment,contains_alleged_fact,promotion,presented_emotionally,subjective,topic,partisan_lean,misleading_type,tweet_point_clarity,tweet_uses_conspiratorial_thinking,tweet_uses_hate_speech,tweet_uses_vulgar_language,tweet_is_believable,tweet_id
yes,no,yes,no,no,yes,yes,unknown,unknown,notMisleading,low,no,no,no,yes,1627852389595205633
yes,no,yes,no,no,yes,yes,unknown,unknown,notMisleading,low,no,no,no,yes,1627852389595205633
yes,no,yes,no,no,yes,yes,unknown,unknown,notMisleading,low,no,no,no,yes,1627852389595205633
yes,no,yes,yes,no,yes,yes,unknown,unknown,misleadingMissingImportantContext,low,yes,no,no,no,1630218103517749248
yes,no,yes,yes,no,yes,yes,unknown,unknown,misleadingMissingImportantContext,low,yes,no,no,no,1630218103517749248
yes,no,yes,yes,no,no,no,unknown,unknown,misleadingMissingImportantContext,low,yes,no,no,no,1630218103517749248
yes,no,yes,yes,no,yes,yes,economy,right,misleadingFactualError,high,yes,no,no,no,1634653284450304000
yes,no,yes,yes,no,yes,yes,economy,right,misleadingFactualError,high,yes,no,yes,no,1634653284450304000
yes,no,yes,yes,no,yes,yes,economy,right,misleadingFactualError,high,yes,no,no,no,1634653284450304000
no,no,no,yes,yes,no,yes,science,none,misleadingUnverifiedClaimAsFact,high,yes,no,no,no,1637750399435145216
no,no,no,yes,yes,no,yes,science,none,misleadingUnverifiedClaimAsFact,medium,yes,no,no,no,1637750399435145216
no,no,no,yes,yes,no,yes,science,none,misleadingUnverifiedClaimAsFact,medium,yes,no,no,no,1637750399435145216
no,no,yes,no,no,yes,yes,unknown,none,notMisleading,low,no,no,no,yes,1639765917885186050
no,no,yes,no,no,yes,yes,unknown,none,notMisleading,low,no,no,no,yes,1639765917885186050
no,no,yes,no,no,yes,yes,unknown,none,notMisleading,low,no,no,no,yes,1639765917885186050
yes,no,yes,yes,no,yes,yes,politics,right,misleadingMissingImportantContext,high,yes,no,no,no,1641557455212806147
yes,no,yes,yes,no,yes,yes,politics,right,misleadingMissingImportantContext,high,yes,no,no,no,1641557455212806147
yes,no,yes,yes,no,yes,yes,politics,right,misleadingMissingImportantContext,high,yes,no,no,no,1641557455212806147
no,no,yes,yes,no,yes,yes,politics,unknown,misleadingMissingImportantContext,low,yes,no,no,no,1643178412213764096
no,no,yes,yes,no,yes,yes,politics,unknown,misleadingMissingImportantContext,low,yes,no,no,no,1643178412213764096
no,no,yes,yes,no,yes,yes,politics,unknown,misleadingMissingImportantContext,low,yes,no,no,no,1643178412213764096
yes,yes,no,yes,no,yes,yes,politics,unknown,misleadingMissingImportantContext,low,no,no,no,no,1643288461657493505
yes,yes,no,yes,no,yes,yes,unknown,unknown,notMisleading,low,no,no,no,no,1643288461657493505
yes,yes,no,yes,no,yes,yes,politics,unknown,misleadingMissingImportantContext,low,no,no,no,no,1643288461657493505
unknown,no,no,no,no,no,yes,unknown,none,notMisleading,low,no,no,no,yes,1643681644136771584
no,no,no,no,no,no,yes,unknown,none,notMisleading,low,no,no,no,yes,1643681644136771584
no,no,no,no,no,no,yes,unknown,none,notMisleading,low,no,no,no,yes,1643681644136771584
no,yes,no,yes,yes,no,yes,tech,none,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1645497824040357888
no,yes,no,yes,yes,yes,yes,tech,none,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1645497824040357888
no,yes,no,yes,yes,no,no,tech,none,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1645497824040357888
yes,no,yes,yes,no,yes,yes,politics,left,misleadingMissingImportantContext,high,no,no,no,yes,1649129384748433408
no,no,yes,yes,no,yes,yes,politics,left,misleadingMissingImportantContext,medium,no,no,no,yes,1649129384748433408
no,no,yes,yes,no,yes,yes,politics,left,misleadingMissingImportantContext,medium,no,no,no,yes,1649129384748433408
no,no,no,yes,no,no,yes,unknown,none,notMisleading,low,no,no,no,yes,1649422138674126849
no,no,no,yes,no,no,yes,unknown,none,misleadingMissingImportantContext,low,no,no,no,yes,1649422138674126849
no,no,no,yes,no,yes,yes,unknown,none,misleadingMissingImportantContext,low,no,no,no,yes,1649422138674126849
no,no,yes,no,no,yes,yes,politics,right,notMisleading,low,no,no,no,no,1652322882406457346
no,no,yes,no,no,yes,yes,politics,right,notMisleading,low,no,no,no,no,1652322882406457346
no,no,yes,no,no,yes,yes,politics,right,notMisleading,low,no,no,no,no,1652322882406457346
no,no,yes,yes,no,no,no,unknown,unknown,misleadingMissingImportantContext,low,no,no,no,yes,1652500813057601536
no,no,yes,yes,no,yes,no,unknown,unknown,misleadingMissingImportantContext,low,no,no,no,no,1652500813057601536
no,no,yes,yes,no,yes,yes,unknown,unknown,misleadingMissingImportantContext,low,no,no,no,no,1652500813057601536
yes,no,yes,yes,no,yes,yes,politics,unknown,misleadingUnverifiedClaimAsFact,medium,yes,no,no,no,1653634739524481024
yes,no,yes,yes,no,yes,yes,politics,unknown,misleadingUnverifiedClaimAsFact,medium,yes,no,no,no,1653634739524481024
yes,no,yes,yes,no,yes,yes,politics,unknown,misleadingUnverifiedClaimAsFact,medium,yes,no,no,no,1653634739524481024
yes,no,yes,yes,no,no,no,politics,unknown,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1653777202691948545
yes,no,yes,yes,no,no,no,politics,unknown,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1653777202691948545
yes,no,yes,yes,no,no,no,politics,unknown,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1653777202691948545
no,no,yes,yes,no,yes,yes,politics,right,misleadingMissingImportantContext,high,no,yes,no,no,1654968316673286145
no,no,yes,yes,no,yes,yes,politics,right,misleadingMissingImportantContext,high,no,yes,no,no,1654968316673286145
no,no,yes,yes,no,yes,yes,politics,right,misleadingMissingImportantContext,high,no,yes,no,no,1654968316673286145
yes,yes,no,yes,no,yes,yes,celebrity,left,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1656026533843161090
yes,yes,no,yes,no,yes,yes,celebrity,left,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1656026533843161090
yes,yes,no,yes,no,yes,yes,celebrity,left,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1656026533843161090
no,yes,no,no,no,yes,yes,politics,right,notMisleading,high,no,no,no,no,1656121758544539648
no,yes,no,no,no,yes,yes,politics,right,notMisleading,high,no,no,no,no,1656121758544539648
no,yes,no,no,no,yes,yes,politics,right,notMisleading,high,no,no,no,no,1656121758544539648
yes,no,yes,yes,no,no,no,science,none,misleadingUnverifiedClaimAsFact,high,no,no,no,yes,1656367520431894533
yes,no,yes,yes,no,no,no,science,none,misleadingUnverifiedClaimAsFact,high,no,no,no,yes,1656367520431894533
yes,no,yes,yes,no,no,no,science,none,misleadingUnverifiedClaimAsFact,high,no,no,no,yes,1656367520431894533
yes,no,yes,yes,no,no,yes,politics,left,notMisleading,high,no,no,no,yes,1657081057261281290
yes,yes,no,yes,no,no,no,politics,left,notMisleading,high,no,no,no,yes,1657081057261281290
yes,yes,no,yes,no,no,no,politics,left,notMisleading,high,no,no,no,yes,1657081057261281290
yes,yes,no,yes,no,yes,yes,economy,left,misleadingMissingImportantContext,high,no,no,no,yes,1658076161191051270
yes,yes,no,yes,no,yes,no,economy,left,misleadingMissingImportantContext,high,no,no,no,yes,1658076161191051270
yes,yes,no,yes,no,yes,yes,economy,left,misleadingMissingImportantContext,high,no,no,no,yes,1658076161191051270
yes,no,no,yes,no,no,no,tech,none,notMisleading,high,no,no,no,yes,1658557812136353793
yes,no,no,yes,no,no,no,tech,none,notMisleading,high,no,no,no,yes,1658557812136353793
yes,no,no,yes,no,no,no,tech,none,notMisleading,high,no,no,no,yes,1658557812136353793
yes,no,yes,yes,no,yes,yes,politics,right,misleadingUnverifiedClaimAsFact,medium,yes,no,no,no,1660405577657221120
yes,no,yes,yes,no,yes,yes,politics,right,misleadingUnverifiedClaimAsFact,medium,yes,no,no,no,1660405577657221120
yes,no,yes,yes,no,yes,yes,politics,right,misleadingUnverifiedClaimAsFact,medium,yes,no,no,no,1660405577657221120
yes,yes,no,yes,yes,yes,yes,tech,none,misleadingUnverifiedClaimAsFact,high,no,no,no,no,1661820136469176339
