tweet_id,tweet_full_text,timely,positive_sentiment,negative_sentiment,contains_alleged_fact,promotion,presented_emotionally,subjective,subjective explanation,topic,notes
1639765917885186050,To my doubters: https://t.co/komH61MCYS,no,no,no,no,no,yes,yes,Private state (doubt) is asserted in others,unknown,"text is super short, so it's hard to get context without seeing the attached media"
1643288461657493505,We just ran this Infected Animal out of NYC!!!! https://t.co/1ZP6D80vMT,no,no,yes,no,no,yes,yes,"""infected animal"" conveys that poster dislikes object",unknown,"again, hard to understand context w/o seeing median"
1643681644136771584,Is this real? https://t.co/KcqIBmC09Q,no,no,no,no,no,no,no,,unknown,
1627852389595205633,What on earth is going on in the US? https://t.co/KNe4yDXaE0,no,no,yes,no,no,yes,yes,private state (disbelief) expressed by poster,politics,
1656121758544539648,What can’t President Trump do? He’s so talented! https://t.co/ALl7HTeUiJ,no,yes,no,no,no,yes,yes,"""talent"" is subjective",politics,
1652322882406457346,"This is why I will never be a Democrat!!!!

This isn’t normal!!! https://t.co/xzEKU0Rrwo",no,no,yes,no,no,yes,yes,"""not normal""",politics,
1661820136469176339,BREAKING: GTA 6 will be Play to Earn! 🤯 https://t.co/ZwQZdXhaVd,yes,yes,no,yes,yes,yes,no,,tech,Maybe games?
1649129384748433408,"Julian Assange is a journalist who has been imprisoned in the UK for 4 years. 

He was a diplomatic refuge in the Ecuadorean Ecuadorean Embassy in London but was then arrested by British Police and imprisoned in HMP Belmarsh 

Despite numerous allegations he has never been… https://t.co/nybRS1Nnms",no,yes,no,yes,no,yes,no,,politics,
1649422138674126849,I’ll never forget that 28 men replied to this newspaper ad. https://t.co/WQH5swr0fe,no,no,no,yes,no,yes,yes,private state of writer,unknown,
1671201838752837651,Elon Musk has now changed the Twitter like button from ❤️ to 💙 https://t.co/knCJKZx7W1,yes,no,no,yes,no,no,no,,tech,
