tweet_id,tweet_full_text,note_full_text,note_hours_crh,tweet_is_scam_or_manipulative,altered_media,tweet_claim,tweet_evidence,tweet_warrant,tweet_claim_clarity-How explicitly is the tweet making its claim,note_addresses_underlying_claim,note_addresses_evidence,helpful_clear,helpful_empathetic,helpful_good_sources,helpful_addresses_claim,helpful_important_context,helpful_unbiased_language
1627852389595205633,What on earth is going on in the US? https://t.co/KNe4yDXaE0,"This video was posted to YouTube dated Oct 28, 2021.   www.youtube.com/watch?v=Alk-YNlgqDQ    While it may reflect the current state of rail beds, it does not present a current event.",48.25,no,no,"""The US is in chaos""",video of a train falling off the rails,"this video of a train falling off the rails is in the US, and a train falling off the rails conveys something important about whether the US is in chaos",low,no,yes,no,no,yes,no,no,yes
1630218103517749248,"When he started to say this, the broadcast was stopped",These promoted tweets that show Ash Barty and the Today Show are crypto scams.    The link takes you to a site that appears to be &quot;The Mirror&quot; but when you look at the URL it is not. If you click on anything on the website it redirects to a common crypto scam site.    Source:    https://omny.fm/shows/jam-nation-with-jonesy-amanda/do-not-fall-for-the-amanda-keller-ash-barty-crypto,48.25,yes,no,,,,low,no,no,,,,,,
1634653284450304000,"Silicon Valley Bank was founded in 2012 by Shanghai Pudong Bank &amp; a California ‘poker-player’ lender. 
Why in hell should US taxpayers save a Chinese bank w a bailout? Screw that BS! https://t.co/nbnHRN9MTV",SVB was founded in 1983 by three American Bank of America managers. https://en.m.wikipedia.org/wiki/Silicon_Valley_Bank    SPD Silicon Valley Bank (SSVB) is an independent joint venture founded in 2012 and is not involved in the failure. https://www.bloomberg.com/news/articles/2023-03-10/svb-s-china-partner-urges-calm-says-business-not-affected,48.25,no,no,,,,high,indirectly,yes,,,,,,
1637750399435145216,"It is easy to say that ""earthquake prediction from planetary alignment has been disproven.""

But scientists have not studied the relationship between specific planetary alignments and larger earthquakes.

SSGEOS has done this study and developed #SSGI to prove this relationship. https://t.co/pGFv62h4WN","There are decades of research demonstrating that earthquake predictions, including from planetary geometry, perform no better than background probabilities.    https://www.usgs.gov/faqs/can-you-predict-earthquakes  https://pnsn.org/outreach/faq/earthquake-prediction  https://scienceexchange.caltech.edu/topics/earthquakes/earthquakes-probabilities  https://sitn.hms.harvard.edu/flash/2019/predicting-next-big-earthquake/  https://www.nature.com/articles/d41586-023-00685-y  https://pubs.geoscienceworld.org/ssa/srl/article/89/2A/577/525827/Do-Large-Magnitude-8-Global-Earthquakes-Occur-on  https://www.usgs.gov/faqs/can-position-moon-or-planets-affect-seismicity-are-there-more-earthquakes-morningin-eveningat    Fact-checks of user's pseudoscience claims:  https://www.npr.org/2023/02/07/1154893886/earthquake-prediction-turkey-usgs  https://www.snopes.com/fact-check/can-you-predict-an-earthquake/  https://twitter.com/bwcphd/status/1633897308499902464  https://twitter.com/PierreSeismo/status/1634593771731189760",48.25,no,no,,,,high,directly,yes,,,,,,
1639765917885186050,To my doubters: https://t.co/komH61MCYS,"For context, this cover is from August 14th, 2020: https://nypost.com/cover/august-14-2020/    NY election results 2020: https://www.politico.com/2020-election/results/new-york/",48.25,no,no,,,,low,no,yes,,,,,,
1641557455212806147,"Alvin Bragg lowered 52% of criminal charges in NYC last year to misdemeanors. He just bent over backwards legally to raise the charges against Trump to a felony. 

WITCH HUNT!!","At this time, the charges in the indictment of Donald J. Trump are unknown because they are under seal. Therefore, it is unknown if the charges in the indictment are a felony or not.     https://www.foxnews.com/politics/trump-indicted-manhattan-da-probe-stormy-daniels-hush-money-payment    https://www.nytimes.com/live/2023/03/30/nyregion/trump-indictment-news/the-unprecedented-case-against-trump-will-have-wide-ranging-implications",47.25,no,no,,,,medium,no,yes,,,,,,
1641557455212806147,"Alvin Bragg lowered 52% of criminal charges in NYC last year to misdemeanors. He just bent over backwards legally to raise the charges against Trump to a felony. 

WITCH HUNT!!","In Manhattan, the district attorney's office (including but not limited to Alvin Bragg) downgraded 52% of felony charges to misdemeanors in 2022 compared to 47% in 2021, before Bragg was elected as District Attorney.    https://data.manhattanda.org/    The indictment on President Trump is sealed and unknown.    https://www.pbs.org/newshour/politics/donald-trump-was-just-indicted-what-happens-next",48.25,no,no,,,,medium,directly,yes,,,,,,
1643178412213764096,"These rules were written in 1919. Over 100 years later people have intrinsically not changed that much. We should all read and study this, it must be resisted at all cost. https://t.co/lUs7btThSE",This is a fake image that has been circulating for years.  https://www.snopes.com/fact-check/communist-rules-for-revolution/,4,no,yes,,,,medium,indirectly,yes,,,,,,
1643288461657493505,We just ran this Infected Animal out of NYC!!!! https://t.co/1ZP6D80vMT,"The video is edited to include Michael Rapaport’s voice, but he was not present. The original video did not contain his screaming.    https://twitter.com/davidmackau/status/1643402728159297537?s=46&amp;t=TS0-yuyQRYywrAGLnVJiNw",48.25,no,yes,,,,low,unclear,yes,,,,,,
1643681644136771584,Is this real? https://t.co/KcqIBmC09Q,This is a clip taken out of context. Biden was telling the pope a story. See this video @3:00  https://youtu.be/q3cN2X2pfUE,48.25,no,no,,,,low,unclear,yes,,,,,yes,
